Seed,Restaurant,Neighborhood,Division,Beli Score,Beli Ratings,Infatuation Score,Infatuation Link,Address,Menu Item A,Menu Item B
1,Dumpling Home,Hayes Valley,East,8.4,"17,461",8.8,https://www.theinfatuation.com/san-francisco/reviews/dumpling-home,"298 Gough St, San Francisco, CA 94102",Juicy Pork Bao (P),Vegetable Bao (V)
2,Yank Sing,Financial District,East,8.0,"6,316",7.5,https://www.theinfatuation.com/san-francisco/reviews/yank-sing-spear-street,"101 Spear St, San Francisco, CA 94105",Shrimp Dumpling (S),Mushroom Dumpling (V)
4,Palette Tea House,Fisherman's Wharf,East,7.7,"5,338",8.2,https://www.theinfatuation.com/san-francisco/reviews/palette-tea-house,"900 North Point St, San Francisco, CA 94109",Sichuan Seafood Dumpling (S),Crystal Jade Vegetarian Dumpling (V)
15,Today Food,Chinatown,East,7.7,569,8.2,https://www.theinfatuation.com/san-francisco/reviews/today-food,"601 Kearny St, San Francisco, CA 94108",Pork And Cabbage Dumplings (P),Veggie Dumplings (V)
3,Yuanbao Jiaozi,Inner Sunset,West,8.7,"3,638",9.2,https://www.theinfatuation.com/san-francisco/reviews/yuanbao-jiaozi,"2110 Irving St, San Francisco, CA 94122",Napa Cabbage And Pork Dumpling,Chicken And Corn Dumpling (C)
9,Dumpling Specialist,Parkside,West,7.8,316,8.4,https://www.theinfatuation.com/san-francisco/reviews/dumpling-specialist,"1123 Taraval St, San Francisco, CA 94116","Shanghai Dumpling (P, S)",Vegetarian Potsticker (V)
10,Kingdom of Dumpling,Parkside,West,8.1,652,8.0,https://www.theinfatuation.com/san-francisco/reviews/kingdom-of-dumpling,"1713 Taraval St, San Francisco, CA 94116",Pork Dumpling With Napa Cabbage (P),Baby Bok Choy & Mushroom Dumplings (V)
11,House of Pancakes,Parkside,West,8.1,"1,550",7.9,https://www.theinfatuation.com/san-francisco/reviews/house-of-pancakes,"937 Taraval St, San Francisco, CA 94116",Pork Dumpling w/ Chives (P),Vegetable Dumpling (V)
5,Dumpling Story,Pacific Heights,North,8.4,"5,020",8.4,https://www.theinfatuation.com/san-francisco/reviews/dumpling-story,"2114 Fillmore St, San Francisco, CA 94115",Gong Bao Chicken Dumpling (C),Mongolian Beef Dumpling (B)
7,Good Luck Dim Sum,Inner Richmond,North,8.1,"1,767",8.3,https://www.theinfatuation.com/san-francisco/reviews/good-luck-dim-sum,"736 Clement St, San Francisco, CA 94118","Deep Fried Stuffed Dumpling (P, S)",Shark Fin Dumpling (S)
14,Dumpling King,Inner Richmond,North,7.1,404,8.3,https://www.theinfatuation.com/san-francisco/reviews/dumpling-king-clement-st,"336 Clement St, San Francisco, CA 94118",Juicy Pan Fried Kurobuta Pork Bao (P),Impossible Dumpling (V)
16,Dumpling Baby China Bistro,Inner Richmond,North,6.6,227,N/A,https://www.theinfatuation.com/san-francisco/reviews/dumpling-baby,"3751 Geary Blvd, San Francisco, CA 94118",Dumplings in Chili Oil Sauce (C),Vegetable Potsticker (V)
6,Dumpling Time,SoMa,South,7.5,"3,936",7.9,https://www.theinfatuation.com/san-francisco/reviews/dumpling-time,"11 Division St, San Francisco, CA 94103",Boiled Lamb Dumpling (L),Boiled Vegetable Dumpling (V)
8,Bao,Mission,South,7.9,"2,706",N/A,N/A,"590 Valencia St, San Francisco, CA 94110",Bi Feng Tang Har Gow (S),Pan Fried Vegetarian Pot Sticker (V)
12,Dumpling Kitchen,Castro,South,7.6,368,N/A,https://www.theinfatuation.com/san-francisco/reviews/dumpling-kitchen-castro,"544 Castro St, San Francisco, CA 94114",Pork & Napa Cabbage Potsticker (P),Boiled Chicken & Corn Dumpling (C)
13,United Dumplings,Bernal Heights,South,7.0,336,7.7,https://www.theinfatuation.com/san-francisco/reviews/united-dumplings,"525 Cortland Ave, San Francisco, CA 94110",Korean BBQ Beef Dumplings (B),Vegetarian Dumpling (V)