Seed,Restaurant,Neighborhood,Division,Beli Score,Beli Ratings,Menu 
1,Dumpling Home,Hayes Valley,East,8.4,"17,461",
2,Yank Sing,Financial District,East,8.0,"6,316",
4,Palette Tea House,Fisherman's Wharf,East,7.7,"5,338",
15,Today Food,Chinatown,East,7.7,569,
3,Yuanbao Jiaozi,Inner Sunset,West,8.7,"3,638",
9,Dumpling Specialist,Parkside,West,7.8,316,
10,Kingdom of Dumpling,Parkside,West,8.1,652,
11,House of Pancakes,Parkside,West,8.1,"1,550",
5,Dumpling Story,Pacific Heights,North,8.4,"5,020",
7,Good Luck Dim Sum,Inner Richmond,North,8.1,"1,767",
14,Dumpling King,Inner Richmond,North,7.1,404,
16,Dumpling Baby China Bistro,Inner Richmond,North,6.6,227,
6,Dumpling Time,SoMa,South,7.5,"3,936",
8,bao,Mission,South,7.9,"2,706",
12,Dumpling Kitchen,Castro,South,7.6,368,
13,United Dumplings,Bernal Heights,South,7.0,336,